Gene	pos.pvalue	pos.fdr	neg.pvalue	neg.fdr
MEOX1	0.473898858075041	0.963315217391305	0.526101141924959	0.954441260744986
MSMO1	0.0442088091353997	0.829591836734694	0.955628058727569	0.990556492411467
NF1	0.754486133768352	0.999673735725938	0.245187601957586	0.862592592592593
NFE2L2	0.519575856443719	0.963315217391305	0.480097879282219	0.934591194968554
NHP2L1	0.990538336052202	0.999673735725938	0.00864600326264275	0.294444444444445
OR5V1	0.847308319738989	0.999673735725938	0.152691680261011	0.862592592592593
OSBPL3	0.344371941272431	0.963315217391305	0.655628058727569	0.982082324455206
OVCH2	0.674714518760196	0.999673735725938	0.325285481239804	0.862592592592593
PAX5	0.105220228384992	0.829591836734694	0.894779771615008	0.990556492411467
PCDHGC4	0.112724306688418	0.829591836734694	0.887275693311582	0.990556492411467
PEAK1	0.163132137030995	0.845967741935484	0.836867862969005	0.990556492411467
PIK3CG	0.36721044045677	0.963315217391305	0.63278955954323	0.978894472361809
PLK1	0.993964110929853	0.999673735725938	0.00603588907014685	0.246666666666668
PLXNB2	0.0605220228384992	0.829591836734694	0.93768352365416	0.990556492411467
PPAP2C	0.780097879282219	0.999673735725938	0.218760195758564	0.862592592592593
PPIL2	0.999510603588907	0.999673735725938	0.000489396411093024	0.100000000000008
PPP1R2P9	0.722675367047308	0.999673735725938	0.277324632952692	0.862592592592593
PRDM1	0.982218597063622	0.999673735725938	0.0169657422512235	0.4
PTCH1	0.81973898858075	0.999673735725938	0.180097879282219	0.862592592592593
PTEN	0.779608482871126	0.999673735725938	0.220391517128874	0.862592592592593
RAMP1	0.88189233278956	0.999673735725938	0.11810766721044	0.839080459770115
RB1	0.742088091353997	0.999673735725938	0.257911908646003	0.862592592592593
RBM5	0.22952691680261	0.931788079470198	0.770309951060359	0.990556492411467
RNF111	0.620228384991843	0.979949874686717	0.362479608482871	0.862592592592593
RNF43	0.96557911908646	0.999673735725938	0.031973898858075	0.502564102564102
RPL13	0.121533442088091	0.829591836734694	0.878466557911909	0.990556492411467
RPL14	0.119412724306688	0.829591836734694	0.880587275693312	0.990556492411467
RPL18A	0.416965742251224	0.963315217391305	0.583034257748776	0.972074468085106
RPL21	0.308972267536705	0.963315217391305	0.691027732463295	0.990556492411467
RPL23	0.0960848287112561	0.829591836734694	0.903915171288744	0.990556492411467
RPL23A	0.263458401305057	0.946892655367231	0.736541598694943	0.990556492411467
RPL3	0.409298531810767	0.963315217391305	0.590538336052202	0.972074468085106
RPL30	0.699836867862969	0.999673735725938	0.300163132137031	0.862592592592593
RPL34	0.765742251223491	0.999673735725938	0.234257748776509	0.862592592592593
RPL37	0.494127243066884	0.963315217391305	0.505546492659054	0.941691842900302
RPL37A	0.269331158238173	0.946892655367231	0.730668841761827	0.990556492411467
