Gene	pos.pvalue	pos.fdr	neg.pvalue	neg.fdr
TSSPLXNB2	0.0930302915801446	0.962247002915446	0.808224428445036	0.99601666216953
TSSPPAP2C	0.0272756295667584	0.962247002915446	0.0359156202278776	0.637812590620167
TSSPPIL2	0.461944750362415	0.999240725923241	0.718591417511592	0.99601666216953
TSSPRDM1	0.361454452941026	0.962247002915446	0.756893720583113	0.99601666216953
TSSPTCH1	0.198295153981235	0.962247002915446	0.633942695181095	0.99601666216953
TSSRB1	0.582547573356784	0.999240725923241	0.556949043115024	0.978251471144728
TSSRBM5	0.647323564157224	0.999240725923241	0.145853788233761	0.96381535756926
TSSRNF43	0.617999312374477	0.999240725923241	0.49671630683842	0.965734675841926
TSSRPL3	0.0744796622376001	0.962247002915446	0.965391946776513	0.99601666216953
TSSRPL8	0.947316562541564	0.999994678303908	0.0959560296833807	0.905106345331804
TSSRRM2B	0.680603263875625	0.999240725923241	0.300948169246127	0.96381535756926
TSSSERPINB8	0.0236783990463616	0.962247002915446	0.990993039922462	0.996736254736174
TSSSESN2	0.178655703968483	0.962247002915446	0.531583844201365	0.978251471144728
TSSSLC24A1	0.452225680585979	0.999240725923241	0.0469887359783323	0.758002504071519
TSSSLC7A1	0.640885012300307	0.999240725923241	0.113331188093129	0.952985163940253
TSSSMAD4	0.0170352188905705	0.962247002915446	0.99511025758326	0.996736254736174
TSSSNAPC5	0.945286809549848	0.999994678303908	0.0251421196281637	0.621448199044666
TSSSNRNP200	0.180592792414291	0.962247002915446	0.812381731804167	0.99601666216953
TSSSPHK1	0.746550661907679	0.999994678303908	0.109754806568211	0.947601358117086
TSSSRGAP2	0.799468992775948	0.999994678303908	0.361649321750324	0.96381535756926
TSSSTK11	0.0527525465430626	0.962247002915446	0.914762119673793	0.99601666216953
TSSTGFB1	0.956246289283607	0.999994678303908	0.0282311058281794	0.621448199044666
TSSTGFBR2	0.0075634934296549	0.962247002915446	0.988491602119904	0.996736254736174
TSSTP53	0.457327757349902	0.999240725923241	0.629942913289318	0.99601666216953
TSSUCK1	0.493941917671262	0.999240725923241	0.556020267431587	0.978251471144728
TSSUSP24	0.350703877084868	0.962247002915446	0.771129075674462	0.99601666216953
TSSWT1	0.533947985631981	0.999240725923241	0.523323325090259	0.978251471144728
TSSXPA	0.327897293700695	0.962247002915446	0.437724094110019	0.96381535756926
UCK1	0.658660465409995	0.999240725923241	0.354911664177143	0.96381535756926
USP24	0.571101127352412	0.999240725923241	0.618058475680825	0.99601666216953
WT1	0.552194209429007	0.999240725923241	0.294790641057475	0.96381535756926
XPA	0.87494962080863	0.999994678303908	0.164911923352259	0.96381535756926
candidate5	0.154276523663702	0.962247002915446	0.931518004978315	0.99601666216953
candidate50	0.118991154657576	0.962247002915446	0.876234397959298	0.99601666216953
candidate500	0.659892176892713	0.999240725923241	0.16222324191188	0.96381535756926
candidate501	0.844270854110992	0.999994678303908	0.221686694584966	0.96381535756926
candidate502	0.934887654803126	0.999994678303908	0.141798142895542	0.96381535756926
candidate503	0.780854442950204	0.999994678303908	0.351261683517514	0.96381535756926
